Timestamp,Distance (cm)
30/07/2024 22:09,163 cm
30/07/2024 22:09,162 cm
30/07/2024 22:09,162 cm
30/07/2024 22:09,163 cm
30/07/2024 22:09,162 cm
30/07/2024 22:09,162 cm
30/07/2024 22:09,163 cm
30/07/2024 22:09,162 cm
30/07/2024 22:09,162 cm
30/07/2024 22:09,162 cm
30/07/2024 22:10,163 cm
30/07/2024 22:10,6 cm
30/07/2024 22:10,7 cm
30/07/2024 22:10,6 cm
30/07/2024 22:10,7 cm
30/07/2024 22:10,6 cm
30/07/2024 22:10,50 cm
30/07/2024 22:10,50 cm
30/07/2024 22:10,44 cm
30/07/2024 22:10,42 cm
30/07/2024 22:10,45 cm
30/07/2024 22:10,63 cm
30/07/2024 22:10,302 cm
30/07/2024 22:10,49 cm
30/07/2024 22:10,48 cm
30/07/2024 22:10,45 cm
30/07/2024 22:10,19 cm
30/07/2024 22:10,19 cm
30/07/2024 22:10,27 cm
30/07/2024 22:10,20 cm
30/07/2024 22:10,21 cm
30/07/2024 22:10,49 cm
30/07/2024 22:10,20 cm
30/07/2024 22:10,21 cm
30/07/2024 22:10,20 cm
30/07/2024 22:10,25 cm
30/07/2024 22:10,19 cm
30/07/2024 22:10,18 cm
30/07/2024 22:10,49 cm
30/07/2024 22:10,20 cm
30/07/2024 22:10,18 cm
30/07/2024 22:10,19 cm
30/07/2024 22:10,20 cm
30/07/2024 22:10,18 cm
30/07/2024 22:10,25 cm
30/07/2024 22:10,21 cm
30/07/2024 22:10,20 cm
30/07/2024 22:10,20 cm
30/07/2024 22:10,20 cm
30/07/2024 22:10,303 cm
30/07/2024 22:10,302 cm
30/07/2024 22:10,21 cm
30/07/2024 22:10,19 cm
30/07/2024 22:10,19 cm
30/07/2024 22:10,23 cm
30/07/2024 22:10,18 cm
30/07/2024 22:10,19 cm
30/07/2024 22:10,18 cm
30/07/2024 22:10,302 cm
30/07/2024 22:10,21 cm
30/07/2024 22:10,19 cm
30/07/2024 22:10,23 cm
30/07/2024 22:10,18 cm
30/07/2024 22:10,18 cm
30/07/2024 22:10,18 cm
30/07/2024 22:10,19 cm
30/07/2024 22:10,17 cm
30/07/2024 22:10,304 cm
30/07/2024 22:10,302 cm
30/07/2024 22:10,19 cm
30/07/2024 22:11,20 cm
30/07/2024 22:11,19 cm
30/07/2024 22:11,303 cm
30/07/2024 22:11,303 cm
30/07/2024 22:11,304 cm
30/07/2024 22:11,302 cm
30/07/2024 22:11,302 cm
30/07/2024 22:11,303 cm
30/07/2024 22:11,28 cm
30/07/2024 22:11,27 cm
30/07/2024 22:11,19 cm
30/07/2024 22:11,21 cm
30/07/2024 22:11,21 cm
30/07/2024 22:11,21 cm
30/07/2024 22:11,21 cm
30/07/2024 22:11,19 cm
30/07/2024 22:11,22 cm
30/07/2024 22:11,302 cm
30/07/2024 22:11,33 cm
30/07/2024 22:11,42 cm
30/07/2024 22:11,302 cm
30/07/2024 22:11,302 cm
30/07/2024 22:11,302 cm
30/07/2024 22:11,302 cm
30/07/2024 22:11,41 cm
30/07/2024 22:11,34 cm
30/07/2024 22:11,20 cm
30/07/2024 22:11,18 cm
30/07/2024 22:11,17 cm
30/07/2024 22:11,27 cm
30/07/2024 22:11,18 cm
30/07/2024 22:11,21 cm
30/07/2024 22:11,19 cm
30/07/2024 22:11,19 cm
30/07/2024 22:11,19 cm
30/07/2024 22:11,17 cm
30/07/2024 22:11,19 cm
30/07/2024 22:11,18 cm
30/07/2024 22:11,17 cm
30/07/2024 22:11,19 cm
30/07/2024 22:11,27 cm
30/07/2024 22:11,302 cm
30/07/2024 22:11,302 cm
30/07/2024 22:11,302 cm
30/07/2024 22:11,304 cm
30/07/2024 22:11,303 cm
30/07/2024 22:11,17 cm
30/07/2024 22:11,17 cm
30/07/2024 22:11,19 cm
30/07/2024 22:11,303 cm
30/07/2024 22:11,20 cm
30/07/2024 22:11,19 cm
30/07/2024 22:11,20 cm
30/07/2024 22:11,20 cm
30/07/2024 22:11,302 cm
30/07/2024 22:11,302 cm
30/07/2024 22:11,304 cm
30/07/2024 22:11,302 cm
30/07/2024 22:11,304 cm
30/07/2024 22:11,304 cm
30/07/2024 22:12,18 cm
30/07/2024 22:12,302 cm
30/07/2024 22:12,27 cm
30/07/2024 22:12,23 cm
30/07/2024 22:12,20 cm
30/07/2024 22:12,20 cm
30/07/2024 22:12,20 cm
30/07/2024 22:12,22 cm
30/07/2024 22:12,20 cm
30/07/2024 22:12,302 cm
30/07/2024 22:12,20 cm
30/07/2024 22:12,19 cm
30/07/2024 22:12,21 cm
30/07/2024 22:12,13 cm
30/07/2024 22:12,20 cm
30/07/2024 22:12,302 cm
