time,value
2024-09-04T11:56:24.469408518Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:25.473463866Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:26.692125988Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:27.999204162Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:28.961986616Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:29.691070803Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:30.692814004Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:31.688375733Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:32.685731528Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:33.698190277Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:34.708221184Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:35.712168765Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:36.735150945Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:37.724996511Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:38.713674826Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:39.735408756Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:40.723137223Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:41.72337572Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:42.743694306Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:43.746472899Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:44.733329725Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:45.73824322Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:46.755492515Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:47.757208581Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:48.757231338Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:49.770940479Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:50.768711763Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:51.778455845Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:56:52.770846759Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:09.575570031Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:10.606607135Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:11.608683964Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:12.555821059Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:13.545526327Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:14.527167442Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:15.51539442Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:16.506566752Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:17.508527191Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:18.526227366Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:19.470036415Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:20.444308131Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:21.443345689Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:22.428879225Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:23.492581932Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:24.497050869Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:25.391558549Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:26.376306049Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:27.378209859Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:28.352904485Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:29.376961504Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:30.325774777Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:31.326180964Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:32.302436416Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:33.292058195Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:34.276094114Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:35.264303897Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:36.247834806Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:37.254845303Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:38.227095431Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:39.24651839Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:40.188533259Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:41.183748797Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:42.159482034Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:43.153282584Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:44.181678635Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:45.132925803Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:46.131356603Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:47.16924516Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:48.110282119Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:49.078652303Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:50.074971359Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:51.053863987Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:52.040383609Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:53.023067764Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:54.009121309Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:54.998715533Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:55.988775989Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:56.970377859Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:57.952162605Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:58.945261268Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:57:59.932902612Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:00.957328259Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:01.920466515Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:02.909936644Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:03.865017615Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:04.851174576Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:05.849989446Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:06.822629707Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:07.811199002Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:08.797059762Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:09.787252983Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:10.796638795Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:11.766622542Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:12.749358395Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:13.732859133Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:14.733029464Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:15.723089521Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:16.705497337Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:17.693905968Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:18.681955118Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:19.693498769Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:20.667715908Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:21.633210647Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:23.386097096Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:23.631579277Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:24.739578044Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:25.621323559Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:26.602979863Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:27.570333151Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:28.593401452Z,{"lat":-37.9134821,"lon":145.3227008}
2024-09-04T11:58:29.562528048Z,{"lat":-37.9134821,"lon":145.3227008}
